tarih,ticker,entry_price,meta_score,pre_move_score,flow_score,resilience_score,regime_fit_score,quality_score,risk_score,ret_t1,ret_t3,ret_t5,ret_t10,ret_t126,mfe_t10,mae_t10,outcome,market_regime,regime_confidence,model_version,data_quality
2026-09-18,T019,100.51199417672316,82.1,85.6,88.2,72.7,83.2,85.0,15.8,,,,,,,,PENDING,NEUTRAL,35.0,champion-1,85.0
2026-09-18,T045,101.03305722015828,78.5,85.2,87.8,53.3,78.0,85.0,15.2,,,,,,,,PENDING,NEUTRAL,35.0,champion-1,85.0
2026-09-18,T078,101.9669722789332,72.8,84.5,87.4,29.6,71.6,85.0,24.8,,,,,,,,PENDING,NEUTRAL,35.0,champion-1,85.0
2026-09-21,ANHYT,102.8,83.9,82.6,90.3,86.3,86.6,85.0,17.5,0.584,,,,,1.362,-0.486,PENDING,BROAD_SELL_OFF,90.0,champion-1,85.0
2026-09-21,GMTAS,46.0,78.8,68.7,90.3,88.4,84.9,77.0,19.0,5.565,,,,,7.043,3.739,PENDING,BROAD_SELL_OFF,90.0,champion-1,77.0
2026-09-21,DOCO,10537.5,75.5,76.0,82.2,75.8,77.4,85.0,25.2,3.227,,,,,4.816,0.071,PENDING,BROAD_SELL_OFF,90.0,champion-1,85.0
2026-09-21,ZRGYO,19.6,74.1,63.0,82.1,85.5,80.2,85.0,22.3,-0.204,,,,,0.357,-2.194,PENDING,BROAD_SELL_OFF,90.0,champion-1,85.0
2026-09-21,GEDIK,5.54,73.9,64.3,83.0,81.1,78.2,85.0,19.5,-4.332,,,,,-2.708,-6.498,PENDING,BROAD_SELL_OFF,90.0,champion-1,85.0
2026-09-21,ASTOR,261.75,72.3,71.7,75.2,73.5,73.6,85.0,18.6,-1.433,,,,,1.815,-3.82,PENDING,BROAD_SELL_OFF,90.0,champion-1,85.0
2026-09-21,TUKAS,2.02,72.2,57.3,81.1,90.3,81.4,77.0,24.3,2.97,,,,,7.426,1.98,PENDING,BROAD_SELL_OFF,90.0,champion-1,77.0
2026-09-22,KCAER,11.65,80.1,83.1,88.6,65.9,82.4,85.0,17.7,,,,,,,,PENDING,RECOVERY,40.0,champion-1,85.0
2026-09-22,CEMTS,8.09,76.0,79.1,83.3,74.3,79.8,77.0,28.0,,,,,,,,PENDING,RECOVERY,40.0,champion-1,77.0
2026-09-22,EGEEN,5090.0,75.8,78.3,81.4,73.1,78.6,77.0,20.8,,,,,,,,PENDING,RECOVERY,40.0,champion-1,77.0
2026-09-22,RGYAS,198.1,75.6,75.2,76.4,83.9,76.9,85.0,18.5,,,,,,,,PENDING,RECOVERY,40.0,champion-1,85.0
2026-09-22,DOAS,159.1,75.2,75.9,78.5,77.4,77.0,85.0,21.7,,,,,,,,PENDING,RECOVERY,40.0,champion-1,85.0
2026-09-22,DGATE,63.35,74.9,83.7,89.9,30.7,77.9,85.0,21.8,,,,,,,,PENDING,RECOVERY,40.0,champion-1,85.0
2026-09-22,KATMR,1.66,74.4,76.6,79.4,68.6,76.4,85.0,21.5,,,,,,,,PENDING,RECOVERY,40.0,champion-1,85.0
2026-09-22,NTHOL,39.98,73.9,74.5,77.4,77.7,76.0,85.0,24.6,,,,,,,,PENDING,RECOVERY,40.0,champion-1,85.0
2026-09-23,KRDMA,44.34,77.8,80.6,82.3,72.1,79.0,85.0,18.2,,,,,,,,PENDING,NEUTRAL,35.0,champion-1,85.0
